2025-05-20 09:48:13,743 - INFO - Request: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.0329 sec
2025-05-20 13:05:37,024 - INFO - Request: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.0428 sec
2025-05-20 13:40:46,428 - INFO - Request: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.1834 sec
2025-05-20 14:14:00,107 - INFO - Request: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.2351 sec
2025-05-20 14:14:40,798 - INFO - Request: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.2461 sec
2025-05-20 14:19:08,654 - INFO - Request: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.2153 sec
2025-05-20 15:06:22,457 - INFO - Request: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.2123 sec
2025-05-20 15:06:40,488 - INFO - Request: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.0695 sec
2025-05-20 15:08:44,304 - INFO - Request: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.1024 sec
2025-05-20 15:08:53,688 - INFO - Request: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.0384 sec
2025-05-20 16:05:28,434 - INFO - Request #1: {'dataframe_split': {'columns': ['gender', 'SeniorCitizen', 'Partner', 'Dependents', 'tenure', 'PhoneService', 'MultipleLines', 'OnlineSecurity', 'OnlineBackup', 'DeviceProtection', 'TechSupport', 'StreamingTV', 'StreamingMovies', 'PaperlessBilling', 'MonthlyCharges', 'TotalCharges', 'InternetService_DSL', 'InternetService_Fiber optic', 'InternetService_No', 'Contract_Month-to-month', 'Contract_One year', 'Contract_Two year', 'PaymentMethod_Bank transfer (automatic)', 'PaymentMethod_Credit card (automatic)', 'PaymentMethod_Electronic check', 'PaymentMethod_Mailed check'], 'data': [[1, 1, 1, 0, 1.1643896396487294, 1, 1, 0, 0, 0, 0, 0, 0, 0, -1.322910085587596, -0.3448102578430522, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]]}}, Response: {'predictions': [0]}, Response Time: 0.2452 sec
